Judul,Harga,Harga per m²,Alamat,Kamar,Luas Tanah,Luas Bangunan,Kepemilikan Tanah,Pertumbuhan IHPR YoY,Suku Bunga KPR Nasional,Ac,Akses 24/7,Akses mobil,Akses wifi,Atm center,Balkon,Bank,Bathtub,Carport,Cctv,Garasi,Gorden,Gym,Internet berkecepatan,Jogging track,Kamar mandi,Kasur,Keamanan 24 jam,Kitchen set,Kolam publik,Kolam renang,Kompor,Kulkas,Lantai,Lemari pakaian,Listrik,Microwave,Minimarket,Musholla,Oven,Perabot,Pompa air,Restoran,Shower,Sumber air,Taman,Tangki air,Telepon,Tempat parkir,Water heater
Dijual Rumah Cantik Jambangan Surabaya Selatan di Jambangan Surabaya,"Rp1,4 M","Rp17,3 Jt/m²","Kel. Jambangan, Kec. Jambangan, Kota Surabaya",5 Kamar Tidur,Luas Tanah 84m²,Luas Bangunan 186m²,Sertifikat Hak Milik,1.05%,10.38%,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,Perabot,0,0,0,PAM,0,0,0,0,0
Dijual Rumah 5 X 10 Dekat Pasar & Terminal Benowo di RANDUPADANGAN (Mepet Pakal - Benowo),Rp270 Jt,"Rp5,4 Jt/m²","Kel. Gundih, Kec. Bubutan, Kota Surabaya",2 Kamar Tidur,Luas Tanah 50m²,Luas Bangunan 40m²,-,1.05%,10.38%,0,0,2,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Perabot,0,0,0,sumber air air tanah,0,0,0,0,0
Dijual Rumah 5x10 Dengan Harga 200 Jutaan di Randupadangan (Mepet Pakal - Benowo),Rp270 Jt,"Rp5,4 Jt/m²","Kel. Pakal, Kec. Pakal, Kota Surabaya",2 Kamar Tidur,Luas Tanah 50m²,Luas Bangunan 40m²,-,1.05%,10.38%,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1300,0,0,0,0,Perabot,1,0,1,sumber air air tanah,0,1,0,0,0
Dijual Rumah Atau Hotel Dijual di Embong Cerme,"Rp17,5 M",Rp70 Jt/m²,"Kel. Embong Kaliasin, Kec. Genteng, Kota Surabaya",17 Kamar Tidur,Luas Tanah 250m²,Luas Bangunan 554m²,Sertifikat Hak Milik,1.05%,10.38%,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,17,0,0,1,0,0,1,0,3,1,33000,0,0,0,0,Perabot,0,0,0,PAM,0,0,0,0,0
Dijual Rumah Baru Minimalis Graha Natura di Graha Natura Surabaya,"Rp2,3 M","Rp19,2 Jt/m²","Kel. Lontar, Kec. Sambikerep, Kota Surabaya",4 Kamar Tidur,Luas Tanah 120m²,Luas Bangunan 360m²,Hak Guna Bangunan,1.05%,10.38%,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,4,0,1,0,0,0,0,0,3,0,4400,0,0,0,0,Perabot,1,0,0,PAM,0,0,0,0,0
Dijual Rumah Baru Citraland North West di Citraland North West,Rp1 M,"Rp17,5 Jt/m²","Kel. Babatan, Kec. Wiyung, Kota Surabaya",2 Kamar Tidur,Luas Tanah 60m²,Luas Bangunan 62m²,Hak Guna Bangunan,1.05%,10.38%,0,0,1,0,0,0,0,0,2,1,0,0,0,0,0,2,0,1,0,0,0,0,0,2,0,2200,0,0,0,0,Perabot,1,0,0,PAM,0,0,0,0,0
Dijual Rumah Villa Bukit Mas Meditarian di Villa Bukit Mas Mediterania Surabaya,"Rp4,5 M","Rp16,4 Jt/m²","Kel. Dukuh Pakis, Kec. Dukuh Pakis, Kota Surabaya",4 Kamar Tidur,Luas Tanah 275m²,Luas Bangunan 300m²,Sertifikat Hak Milik,1.05%,10.38%,0,0,1,0,1,0,0,0,2,1,0,0,0,0,0,4,0,0,0,0,0,0,0,2,0,4400,0,0,0,0,Perabot,1,0,0,PAM,0,0,0,0,0
Dijual Rumah Simpang Darmo Permai Selatan di Simpang Darmo Permai Selatan,"Rp2,3 M","Rp14,2 Jt/m²","Kel. Lontar, Kec. Sambikerep, Kota Surabaya",3 Kamar Tidur,Luas Tanah 162m²,Luas Bangunan 162m²,Sertifikat Hak Milik,1.05%,10.38%,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0,3,0,1,0,0,0,0,0,1,0,4400,0,0,0,0,Perabot,1,0,0,PAM,0,0,0,0,0
Dijual Rumah Jemur Andayani di Jemur Andayani,Rp5 M,"Rp18,2 Jt/m²","Kel. Jemur Wonosari, Kec. Wonocolo, Kota Surabaya",4 Kamar Tidur,Luas Tanah 275m²,Luas Bangunan 275m²,Sertifikat Hak Milik,1.05%,10.38%,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,2,0,1,0,0,0,0,0,1,0,5500,0,0,0,0,Perabot,0,0,0,PAM,0,0,0,0,0
Dijual Rumah Pantai Mentari di Kenjeran,"Rp2,1 M",Rp16 Jt/m²,"Kec. Kenjeran, Kota Surabaya",3 Kamar Tidur,Luas Tanah 134m²,Luas Bangunan 213m²,Sertifikat Hak Milik,1.05%,10.38%,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,Perabot,0,0,1,PDAM,0,0,0,1,1
"Dijual Rumah 4KT 276m² di Mojoarum, Surabaya","Rp2,5 M","Rp9,1 Jt/m²","Kel. Mojo, Kec. Gubeng, Kota Surabaya",4 Kamar Tidur,Luas Tanah 276m²,Luas Bangunan 300m²,Sertifikat Hak Milik,1.05%,10.38%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Perabot,0,0,0,PDAM,0,0,0,0,0
Dijual Rumah Wisata Bukit Mas 2 Surabaya Siap Huni Le di Wisata Bukit Mas 2 Surabaya,"Rp2,3 M","Rp18,4 Jt/m²","Kel. Lidah Kulon, Kec. Lakarsantri, Kota Surabaya",4 Kamar Tidur,Luas Tanah 128m²,Luas Bangunan 160m²,Sertifikat Hak Milik,1.05%,10.38%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,5500,0,0,0,0,Perabot,0,0,0,PDAM,0,0,0,0,0
"Dijual Rumah Baru TerMURAH LUAS 7×15 Dekat Citra Berkat, Palma di Jl. North West Park Citraland Surabaya Barat","Rp1,5 M","Rp14,3 Jt/m²","Kel. Babat Jerawat, Kec. Pakal, Kota Surabaya",3 Kamar Tidur,Luas Tanah 105m²,Luas Bangunan 72m²,Hak Guna Bangunan,1.05%,10.38%,1,1,3,1,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,Perabot,0,0,0,PAM,0,0,0,0,0
