Judul,Harga,Harga per m²,Kamar,Luas Tanah,Luas Bangunan,Kepemilikan Tanah,Pertumbuhan IHPR YoY,Suku Bunga KPR Nasional,Ac,Akses 24/7,Akses mobil,Akses wifi,Atm center,Balkon,Bank,Bathtub,Carport,Cctv,Garasi,Gorden,Gym,Internet berkecepatan,Jogging track,Kamar mandi,Kasur,Keamanan 24 jam,Kitchen set,Kolam publik,Kolam renang,Kompor,Kulkas,Lantai,Lemari pakaian,Listrik,Microwave,Minimarket,Musholla,Oven,Perabot,Pompa air,Restoran,Shower,Sumber air,Taman,Tangki air,Telepon,Tempat parkir,Water heater,Desa,Kecamatan,Kota,log_harga,log_Harga
Dijual Rumah One Golf Terrace Pakuwon Indah di Pakuwon Indah,2500000000.0,17400000.0,4,144,190,Hak Guna Bangunan,1.05%,10.38%,0,0,2,0,0,0,0,0,1,0,0,1,0,0,0,4,0,1,0,0,0,0,0,2,0,0,0,0,0,0,Perabot,0,0,1,PAM,0,0,0,0,0,Kel. Lidah Wetan, Kec. Lakarsantri, Kota Surabaya,21.639556569220566,21.639556569220566
Dijual Rumah Karang Asem Surabaya di Karang Asem,2700000000.0,4800000.0,2,570,700,Sertifikat Hak Milik,1.05%,10.38%,0,0,2,0,0,1,0,0,1,0,0,1,0,0,0,2,0,1,0,0,0,0,0,2,0,0,0,0,0,0,Perabot,0,0,1,PAM,0,0,0,0,0,Kel. Ploso, Kec. Tambaksari, Kota Surabaya,21.716517610327063,21.716517610327063
Dijual Rumah Mulyosari Utara di Mulyosari Utara,2400000000.0,20000000.0,4,120,170,Sertifikat Hak Milik,1.05%,10.38%,0,0,2,0,0,1,0,0,1,0,0,0,0,0,0,3,0,1,0,0,0,0,0,2,0,0,0,0,0,0,Perabot,0,0,1,PAM,0,0,0,0,0,Kel. Mulyorejo, Kec. Mulyorejo, Kota Surabaya,21.59873457471698,21.59873457471698
Dijual Rumah Siap Huni Dibatas Kota Surabaya Barat di RANDUPADANGAN - MEPET PAKAL,290000000.0,4800000.0,2,61,42,-,1.05%,10.38%,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1300,0,0,0,0,Perabot,0,0,1,sumber air air tanah,0,1,0,0,0,Kel. Pakal, Kec. Pakal, Kota Surabaya,19.48539148439307,19.48539148439307
Dijual Rumah Greenlake Citraland di Citraland,2000000000.0,19600000.0,4,102,105,-,1.05%,10.38%,0,0,2,0,0,1,0,0,1,0,0,0,0,0,0,3,0,1,0,0,0,0,0,2,0,3500,0,0,0,0,Perabot,0,0,1,PAM,0,0,0,0,0,Kel. Lidah Kulon, Kec. Lakarsantri, Kota Surabaya,21.416413018006356,21.416413018006356
Dijual Rumah Woodland Citraland di Citraland,3100000000.0,20300000.0,4,153,330,Hak Guna Bangunan,1.05%,10.38%,0,0,2,0,0,1,0,0,2,0,0,0,0,0,0,4,0,1,0,0,0,0,0,3,0,3500,0,0,0,0,Perabot,0,0,1,PAM,0,0,0,0,0,Kel. Made, Kec. Sambikerep, Kota Surabaya,21.854667948760092,21.854667948760092
"Dijual Rumah Strategis di Tenggilis Mejoyo, Dekat Ubaya di Tenggilis Mejoyo",1700000000.0,8800000.0,4,200,150,Sertifikat Hak Milik,1.05%,10.38%,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,2,0,0,0,0,0,0,Perabot,0,0,0,PDAM,0,0,0,0,0,Kel. Tengilis Mejoyo, Kec. Tenggilis Mejoyo, Kota Surabaya,21.253894088596816,21.253894088596816
Dijual Rumah Virgo Surabaya di Virgo,1600000000.0,17800000.0,3,90,120,Sertifikat Hak Milik,1.05%,10.38%,0,0,2,0,0,1,0,0,1,0,0,0,0,0,0,3,0,1,0,0,0,0,0,2,0,2200,0,0,0,0,Perabot,0,0,1,PAM,0,0,0,0,0,Kel. Ploso, Kec. Tambaksari, Kota Surabaya,21.193269466817146,21.193269466817146
Dijual Rumah Lebak Surabaya di Lebak,1600000000.0,16800000.0,3,95,130,Sertifikat Hak Milik,1.05%,10.38%,0,0,2,0,0,1,0,0,1,0,0,0,0,0,0,3,0,1,0,0,0,0,0,2,0,2200,0,0,0,0,Perabot,0,0,1,PAM,0,0,0,0,0,Kel. Gading, Kec. Tambaksari, Kota Surabaya,21.193269466817146,21.193269466817146
Dijual Rumah Banting Harga di Jl. Keputih Perintis,2600000000.0,13000000.0,4,200,200,-,1.05%,10.38%,0,0,2,0,1,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,1300,0,0,0,0,Perabot,1,0,0,PAM,0,1,0,0,0,Kel. Keputih, Kec. Sukolilo, Kota Surabaya,21.678777282358464,21.678777282358464
Dijual Rumah Central Park Mulyosari Mewah👍 di Central Park Mulyosari Blok DC - 10,5300000000.0,17900000.0,5,296,310,Sertifikat Hak Milik,1.05%,10.38%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Perabot,0,0,0,PDAM,0,0,0,0,0,Kel. Kalisari, Kec. Mulyorejo, Kota Surabaya,22.390972657693165,22.390972657693165
Dijual Rumah Strategis Dekat Tol Dan Airport di Wiguna Timur Regency Rungkut,2100000000.0,14600000.0,4,144,144,Sertifikat Hak Milik,1.05%,10.38%,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,2,1,1,0,0,0,0,0,1,0,2200,0,0,0,0,Perabot,0,0,1,PAM,0,0,0,0,0,Kel. Medokan Ayu, Kec. Rungkut, Kota Surabaya,21.465203182151978,21.465203182151978
Dijual Rumah Manyar Tirtoyoso Utara Baru Gress di Manyar Tirtoyoso Utara,2700000000.0,23200000.0,4,120,165,Sertifikat Hak Milik,1.05%,10.38%,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,3,0,1,0,0,0,0,0,2,0,2200,0,0,0,0,Perabot,1,0,0,PAM,0,1,0,0,0,Kel. Manyar Sabrangan, Kec. Mulyorejo, Kota Surabaya,21.716517610327063,21.716517610327063
Dijual Rumah Manyar Rejo Surabaya di Manyar Rejo,3000000000.0,10000000.0,4,300,400,Sertifikat Hak Milik,1.05%,10.38%,0,0,3,0,0,0,0,0,1,0,0,1,0,0,0,3,0,1,0,0,0,0,0,1,0,0,0,0,0,0,Perabot,0,0,1,PAM,0,0,0,0,0,Kel. Menur Pumpungan, Kec. Sukolilo, Kota Surabaya,21.821878125947855,21.821878125947855
Dijual Rumah Full Furnished di Griya Babatan Indah,1300000000.0,12700000.0,5,106,175,Sertifikat Hak Milik,1.05%,10.38%,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,1,0,0,0,0,2,0,4400,0,0,0,0,Perabot,1,0,0,PAM,0,0,0,0,0,Kel. Babatan, Kec. Wiyung, Kota Surabaya,20.985630102183134,20.985630102183134
Dijual Rumah Fully Renovated di GRAHA GAMILY,6900000000.0,24600000.0,4,280,292,Hak Guna Bangunan,1.05%,10.38%,0,0,3,0,1,0,0,0,2,0,0,0,1,0,0,4,0,1,0,0,0,0,0,2,0,13200,0,0,0,0,Perabot,0,0,0,PAM,0,0,0,0,0,Kel. Babatan, Kec. Wiyung, Kota Surabaya,22.654787248694554,22.654787248694554
Dijual Rumah Dkt Kawasan Citraland Blok Dpn di Pondok Benowo Indah Blok N Kota Surabaya,1200000000.0,13900000.0,5,90,90,Sertifikat Hak Milik,1.05%,10.38%,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,1,0,0,0,0,3,0,0,1,0,0,0,Perabot,0,0,0,PAM,0,0,0,0,0,Kel. Babat Jerawat, Kec. Pakal, Kota Surabaya,20.9055873945737,20.9055873945737
Dijual Rumah Babatan Pratama di Babatan Pratama,1200000000.0,7700000.0,4,162,162,Sertifikat Hak Milik,1.05%,10.38%,0,0,3,0,0,0,0,0,2,0,0,1,0,0,0,3,0,1,0,0,0,0,0,1,0,0,0,0,0,0,Perabot,0,0,1,PAM,0,0,0,0,0,Kel. Babatan, Kec. Wiyung, Kota Surabaya,20.9055873945737,20.9055873945737
Dijual Rumah Kertajaya Indah Hitung Tanah di Kertajaya Indah,4700000000.0,15700000.0,4,300,250,Hak Guna Bangunan,1.05%,10.38%,0,0,2,0,0,0,0,0,1,0,0,1,0,0,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,Perabot,0,0,1,PAM,0,0,0,0,0,Kel. Mulyorejo, Kec. Mulyorejo, Kota Surabaya,22.27082834587519,22.27082834587519
Dijual Rumah Rumah Surabaya Dibawah Pasaran Siap Huni di Dekat MERR Surabaya Timur,635000000.0,6400000.0,2,100,98,Sertifikat Hak Milik,1.05%,10.38%,0,0,3,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1300,0,0,0,0,Perabot,0,0,1,PAM,0,0,0,0,0,Kel. Medokan Ayu, Kec. Rungkut, Kota Surabaya,20.26913555843177,20.26913555843177
Dijual Rumah Mulyosari Prima Utara Surabaya di Mulyosati Prima Utara,1300000000.0,22500000.0,3,60,100,Sertifikat Hak Milik,1.05%,10.38%,0,0,2,0,0,1,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,2200,0,0,0,0,Perabot,0,0,1,PAM,0,1,0,0,0,Kel. Kalisari, Kec. Mulyorejo, Kota Surabaya,20.985630102183134,20.985630102183134
